Dart Impact,Tensile Modulus,Tensile Strength,Elongation at Break,Class
0.4880952,4331.1,387.7,143.5,1
0.36335976,5026.8,218.2,96.644,1
0.36878304,4883.6,205.2,103.521,1
0.45013224,5214,236.4545455,104.1490909,1
0.3525132,5067.5,211.3,127.178,1
0.38234124,5346.1,233,117.809,1
0.33082008,4574.4,196.3,109.064,1
0.3525132,4555.2,200.9,115.218,1
0.62638884,5088.6,209.3,151.3,1
0.36335976,4981.8,203.8,105.579,1
0.36064812,4888.9,199.7,95.59,1
0.34437828,4641.2,193,125.45,1
0.36335976,4701.9,188.4,93.637,1
0.55046292,4172.2,164.1,160,1
0.3525132,5156.888889,211.6,109.108,1
0.38234124,5283.2,233.2,121.75,1
0.3660714,5086.8,222.4,128.053,1
0.33082008,5131.9,211.9,136,1
1.08736764,4597.7,159.1,87.497,1
1.15787028,4711.3,168.4,99.018,1
0.29285712,4585.3,180.2,107.661,1
0.34437828,5049.5,194.3,97.939,1
0.35793648,5067.1,207.2,101.263,1
0.474537,4875,191.45,109.15,1
0.33353172,4917.7,220,112.553,1
0.3525132,4948.5,227.3,124.099,1
0.3525132,5343.3,215.8,120.3,1
0.9016203,4464.9,198.2,173.5,1
1.21481472,5199.4,185.5,147.3,1
0.2982804,5236.2,194.3,88.051,1
0.36878304,5587.3,234.2,107.459,1
0.32810844,5103.2,195.3,106.604,1
1.01957664,4533.2,186.7,119.123,1
0.32268516,4491,166,141.764,1
0.26031744,5053.9,184.2,117.253,1
0.26031744,4972.9,190.1,136.389,1
0.57757932,4663.8,200.9,139.913,1
0.49351848,4470.4,189.7,127.266,1
0.39047616,4933.2,190.8,114.701,1
0.23591268,5001.5,187.9,139.595,1
0.22506612,4899.8,185.4545455,148,1
0.34166664,4558.7,178.9,101.354,1
0.62910048,2302.7,181.7,110.748,-1
0.55046292,2302.4,176.8888889,105.0244444,-1
0.87314808,2499.4,221.9,107.823,-1
0.64537032,2748.4,176.1818182,147.64,-1
0.65350524,1983.5,175.6,101.109,-1
0.72671952,2682.3,176.4,108.325,-1
0.38505288,5052.7,237.2,135.9,-1
0.59113752,2078.9,150.6,119.481,-1
0.95992056,2613.5,176,105.721,-1
0.95992056,2584.5,184.3,114.967,-1
0.80264544,2939.7,212.1,103.438,-1
0.9920083,2983.5,190.9,132.284,-1
0.78095232,2645.8,193.2,111.1,-1
0.5943011,2212,222.9,101.96,-1
0.45013224,2856.8,208.5,41.035,-1
0.53690472,2523.8,159.3,94.034,-1
1.06296288,2804.9,194.2,126.122,-1
0.64537032,2416,174.3,119.985,-1
1.14973536,2610.1,200.9,147.586,-1
0.77010576,2819.1,182.5,123.031,-1
0.66706344,2767.3,168.5,89.902,-1
0.51249996,2679.3,160.3,79.765,-1
0.75654756,2867.8,212.9,118.617,-1
0.51792324,2713.6,190,95.333,-1
0.74841264,2605,192.7,114.463,-1
0.61554228,2465.4,176.7,118.31,-1
0.27387564,1753.6,106.2,70.265,-1
0.58842588,2831.55,168,86.203,-1
0.70773804,2863.5,187,110.7977778,-1
0.6914682,2549.2,191.4545455,106.1327273,-1
0.34708992,1714.8,100.8,65.095,-1
0.70231476,2292.1,152.1,106.505,-1
0.50436504,2994.3,190.1,104.454,-1
0.72671952,2038,109.1,73.751,-1
1.04940468,2409.7,155.6,127.419,-1
0.83518512,2310.6,153.6,114.74,-1
0.76468248,2772.9,202,109.669,-1
0.6372354,2424.8,151.8,96.609,-1
1.3151454,2463.65,170.1,118.8555,-1
0.68062164,4055.8,160.9,125.218,-1
0.61554228,2463.3,182.2,94.37,-1
0.64537032,2630,161.4,109.127,-1
0.60198408,3002.3,210.3,111.406,-1
0.64265868,2472.1,194.4,117.974,-1
0.79722216,2564.6,205,118.648,-1
0.70231476,2429,169.9,93.211,-1
0.80264544,2065.9,133.1897436,94.34030769,-1
0.42301584,2670.2,218.1,105.077,-1
0.5965608,2649.1,184.6,117.712,-1
0.61825392,2563.2,175.3,117.324,-1
0.60469572,2928.2,182,95.264,-1
0.474537,3177.6,127,88.33,-1
