filmtype,dart,elongation-MD,elongation-TD,modulus-MD,modulus-TD,strength-MD,strength-TD
BOPET,0.4474206,165,144,4321,4355,179,220
BOPET,0.5016534,141,125,4211,4597,168,205
BOPET,0.5287698,141,135,4200,4388,162,2181
BOPET,0.4880952,155,151,4199,4439,174,211
BOPET,0.474537,166,112,4221,4380,177,200
BOPET,0.3660714,80,51.63,4584,5137,170,198
BOPET,0.3525132,127,85.44,4647,5555,213,251
BOPET,0.3660714,108,100.78,4921,5615,186,272
BOPET,0.3660714,109,87.2,4932,5337,180,249
BOPET,0.3660714,137,80.39,4563,4977,216,247
BOPET,0.3660714,123,92.4,4705,5006,204,204
BOPET,0.3660714,91,99.45,4937,4999,171,218
BOPET,0.3660714,141,62.54,4896,4829,221,184
BOPET,0.3660714,140,73.84,4874,4865,219,213
BOPET,0.3796296,117,94.98,4663,5062,212,206
BOPET,0.4474206,109,94.52,5398,4535,241,209
BOPET,0.4474206,110,105.26,5459,5139,240,244
BOPET,0.4474206,115,85.41,5086,5139,251,221
BOPET,0.4609788,116,92.8,5294,5193,261,228
BOPET,0.4474206,114,106.71,5244,5653,242,236
BOPET,0.3525132,145,110.2,4893,5003,223,204
BOPET,0.3525132,135,92.92,5129,4899,207,200
BOPET,0.3525132,136,109.08,5101,5177,212,201
BOPET,0.3525132,138,131.13,4945,5265,212,215
BOPET,0.3525132,148,126.45,5135,5128,223,216
BOPET,0.3796296,138,88.66,4915,5585,213,246
BOPET,0.3660714,108,94.41,5080,5873,186,252
BOPET,0.3931878,132,96.86,4936,5744,208,246
BOPET,0.3796296,160,94.86,5134,5445,223,246
BOPET,0.3931878,160,105.3,5150,5599,244,266
BOPET,0.3253968,149,68.11,4335,5261,177,216
BOPET,0.338955,141,70.55,3986,4855,171,212
BOPET,0.338955,148,66.16,3965,5184,175,214
BOPET,0.3253968,162,75.75,4020,4817,187,225
BOPET,0.3253968,140,70.07,4299,5022,169,217
BOPET,0.3525132,160,46.74,3831,4960,189,179
BOPET,0.3525132,155,96.72,4245,5132,196,218
BOPET,0.3525132,134,93.89,4125,4891,178,224
BOPET,0.338955,167,89.38,4320,4824,200,231
BOPET,0.3660714,111,98.45,4260,4964,164,230
BOPET,0.6914682,183,131,4638,5479,192,246
BOPET,0.5965608,181,124,4738,5634,194,223
BOPET,0.6236772,180,118,4666,5470,197,215
BOPET,0.5830026,182,138,4646,5770,190,224
BOPET,0.6372354,138,138,4604,5241,187,225
BOPET,0.3660714,120,84.73,4983,5167,200,201
BOPET,0.338955,111,93.66,5171,4823,189,201
BOPET,0.3525132,124,80.79,4801,5364,203,199
BOPET,0.3796296,133,94.42,4845,4943,216,223
BOPET,0.3796296,131,83.19,4563,5158,202,204
BOPET,0.3525132,108,40.26,4521,4998,180,169
BOPET,0.3660714,132,79.29,4590,5319,184,257
BOPET,0.3660714,129,63.43,4810,5179,190,206
BOPET,0.3660714,134,78.26,4521,5154,198,221
BOPET,0.3525132,123,68.66,4811,4986,182,210
BOPET,0.3525132,137,95.07,4700,4862,202,197
BOPET,0.3660714,136,118.6,4810,4788,199,197
BOPET,0.3253968,141,109.63,4696,4235,196,185
BOPET,0.338955,133,127.33,4489,4505,179,189
BOPET,0.338955,143,113.87,4787,4540,198,188
BOPET,0.3796296,98,98.85,4750,4845,191,192
BOPET,0.3796296,84,92.65,4784,4321,175,178
BOPET,0.3525132,99,90.88,5025,4529,201,184
BOPET,0.3660714,90,94.79,4956,4353,185,190
BOPET,0.338955,91,97.2,4732,4724,206,182
BOPET,0.5830026,201,153,3511,4677,160,178
BOPET,0.5558862,184,158,3388,4551,160,184
BOPET,0.542328,152,147,4091,4396,148,171
BOPET,0.5558862,172,130,3967,4518,153,170
BOPET,0.5152116,180,123,4040,4583,149,168
BOPET,0.3796296,120,81.05,5140,5034,218,184
BOPET,0.3525132,123,104.3,5661,4867,223,217
BOPET,0.3660714,117,109.29,5071,4920,212,205
BOPET,0.3796296,117,111.8,5587,5058,216,224
BOPET,0.3660714,123,104.96,5151,5376,198,253
BOPET,0.3796296,151,103.6,5156,5294,232,251
BOPET,0.3931878,145,100.71,5235,5213,220,241
BOPET,0.3796296,148,106.01,5178,5503,232,256
BOPET,0.3931878,150,85.22,5162,5564,223,226
BOPET,0.3660714,149,94.18,4791,5270,175,254
BOPET,0.3660714,153,97.33,4775,5403,184,259
BOPET,0.3525132,169,83.7,4896,5429,202,241
BOPET,0.3660714,156,99.77,4809,5417,193,246
BOPET,0.3796296,172,106.55,4684,5394,205,265
BOPET,0.2847222,138,138,5069,5030,220,208
BOPET,0.3660714,137,140,5385,5315,215,207
BOPET,0.3118386,135,155,5236,4984,221,211
BOPET,0.338955,130,141,5208,4984,213,219
BOPET,0.3525132,125,121,5085,5023,210,195
BOPET,0.7185846,218,43.19,1992,3540,110,280
BOPET,0.6643518,196,33.89,1976,3617,104,260
BOPET,0.745701,171,27.31,1940,3562,95,239
BOPET,0.7185846,189,31.08,2002,3676,101,244
BOPET,0.6914682,189,44,2049,3496,103,227
BOPET,1.1795634,107,99.61,4839,4482,173,152
BOPET,1.1253306,85,97.74,4832,4540,167,157
BOPET,1.1117724,104,72.45,4341,4470,175,143
BOPET,1.1660052,76,83.59,4558,4604,168,144
BOPET,0.8541666,71,78.58,4744,4567,167,145
BOPET,1.1660052,110,87.43,4630,4680,180,155
BOPET,1.1660052,115,86.78,4807,4596,185,154
BOPET,1.1795634,115,96.42,4962,4401,181,156
BOPET,1.084656,102,84.08,4891,4653,178,158
BOPET,1.1931216,107,86.47,4880,4613,180,157
BOPET,0.3118386,136,56.87,3896,5123,147,170
BOPET,0.3253968,139,80.57,4098,4742,162,199
BOPET,0.3253968,139,79.67,4270,4893,172,206
BOPET,0.3118386,138,77.9,4093,5278,166,204
BOPET,0.1898148,152,77.6,4241,5219,176,200
BOPET,0.3525132,123,68.13,4670,5394,160,213
BOPET,0.3253968,116,71.17,4636,5286,178,207
BOPET,0.3525132,130,75.37,4731,5165,195,209
BOPET,0.3525132,132,71.15,4779,5239,189,206
BOPET,0.338955,121,71.57,4952,5643,188,198
BOPET,0.3525132,129,49.62,4950,5080,180,191
BOPET,0.3660714,139,79.2,4587,5565,207,222
BOPET,0.338955,138,87.02,4761,5224,222,235
BOPET,0.3660714,130,91.21,4853,5423,188,235
BOPET,0.3660714,115,54.58,4547,5681,198,194
BOPET,0.4880952,144.5,57.79,4536,5383,168.5,185.5
BOPET,0.4813161,163.5,69.545,4583,4982.5,191,195.5
BOPET,0.4541997,161.5,54.08,4361,5203,198,189.5
BOPET,0.4609788,152.5,62.815,4629,5339.5,189,199
BOPET,0.4880952,153,72.27,4398,5335,191.5,207
BOPET,0.3525132,150,60.23,4795,5140,197,200
BOPET,0.3253968,152,81.2,4954,5088,200,260
BOPET,0.3253968,145,87.46,4714,5007,187,248
BOPET,0.3253968,125,89.01,4533,4989,180,274
BOPET,0.338955,143,92.63,4739,5218,201,253
BOPET,0.3525132,145,89.36,4732,5204,201,226
BOPET,0.3525132,158,98.58,4671,5126,200,246
BOPET,0.3660714,159,92.15,4473,5398,212,250
BOPET,0.3525132,151,104.02,4522,5008,213,263
BOPET,0.338955,150,93.88,4879,5472,210,252
BOPET,0.3525132,151,94.58,4981,6222,204,227
BOPET,0.338955,152,93.86,4866,5568,208,226
BOPET,0.3525132,115,97.86,5023,5851,177,234
BOPET,0.3525132,157,94.66,4826,5552,198,237
BOPET,0.3660714,157,90.04,5077,5467,214,233
BOPET,0.5287698,164,135,4153,4726,174,196
BOPET,0.9083994,215,158,4327,4634,199,209
BOPET,0.9897486,197,173,4409,4618,193,215
BOPET,0.9761904,154,186,4338,4605,169,225
BOPET,0.9897486,175,178,4295,4544,180,222
BOPET,1.2744708,115,169,4680,5696,203,162
BOPET,1.2609126,98,192,4743,5611,192,180
BOPET,1.2473544,115,182,4757,5634,200,173
BOPET,1.1388888,130,170,4699,5783,210,165
BOPET,1.152447,117,185,4607,5784,198,172
BOPET,0.2982804,95,50.24,4818,5631,165,193
BOPET,0.2982804,127,58.15,4582,5939,189,201
BOPET,0.3118386,86,73.1,4768,5472,156,217
BOPET,0.2982804,98,73.47,4834,5826,166,216
BOPET,0.2847222,139,80.55,4816,5676,209,231
BOPET,0.3660714,139,81.36,4810,6580,221,258
BOPET,0.3525132,136,79.73,4592,5897,199,254
BOPET,0.3660714,130,85.52,4978,6412,194,267
BOPET,0.3796296,146,69.3,4591,6504,220,256
BOPET,0.3796296,135,72.68,4855,6654,216,257
BOPET,80.63430729,126,84.81,4978,5267,216,214
BOPET,81.59926535,105,90.37,4683,5457,189,221
BOPET,82.5642234,91,86.01,4682,5332,172,221
BOPET,82.5642234,139,94.58,4260,5191,213,209
BOPET,76.77447508,124,98.59,5108,5433,194,222
BOPET,0.3660714,130,72.74,4824,5297,176,189
BOPET,0.3660714,140,87.43,5250,5302,216,209
BOPET,0.1762566,141,80.49,4832,5117,189,195
BOPET,0.3796296,132,86.35,5245,5249,198,214
BOPET,0.3525132,128,68.03,4595,5321,186,181
BOPET,0.9219576,118,117.77,4514,4527,179,176
BOPET,1.0304232,126,111.58,4385,4570,197,176
BOPET,1.0982142,123,120.6,4524,4473,195,189
BOPET,1.0982142,115,119.84,4614,4600,190,188
BOPET,0.949074,112,127.44,4549,4576,182,195
BOPET,0.5830026,167,117.68,3894,4544,151,186
BOPET,0.2576058,173,120.27,4404,4976,168,177
BOPET,0.2576058,191,102.5,4340,4520,162,189
BOPET,0.271164,199,80.23,4185,4963,167,139
BOPET,0.2440476,176,90.96,4380,4704,170,151
BOPET,0.2576058,121,111.98,4952,5049,192,182
BOPET,0.2440476,127,110.44,5249,5190,180,186
BOPET,0.271164,126,105.21,5309,4896,178,188
BOPET,0.2576058,126,110.24,5004,4995,192,185
BOPET,0.271164,129,105.66,4934,4961,182,177
BOPET,0.271164,176,110.35,4697,5238,180,232
BOPET,0.271164,159,76.16,4916,5043,167,189
BOPET,0.2576058,179,113.03,4767,5175,178,205
BOPET,0.2576058,162,112.74,4869,5199,166,213
BOPET,0.2440476,173,102.61,4384,5441,171,200
BOPET,0.5558862,193,101.85,4242,4896,182,231
BOPET,0.5965608,175,106.73,4410,5061,168,227
BOPET,0.5830026,136,77.57,4232,5070,157,217
BOPET,0.5694444,197,107.92,4415,4979,176,229
BOPET,0.5830026,208,96.06,4333,5000,192,230
