Concentration,FID_Signal
8,4292
6,3313.8
4,2238.5
2,1085.3
6,3329.2
8,4330
10,5132.2
10,4980.7
8,4244.9
4,2169.1
2,1059.2
2,1070.9
4,2210.9
6,3296.1
8,4283
10,5105.9
10,5003.8
8,4183.8
6,3228.5
4,2168.2
2,1049.8
2,1062
6,3235.9
8,4192.2
10,4994.9
10,4800.3
8,3990.7
6,3109.5
4,2068.1
2,1007.6
2,999.5
4,2067.5
6,3091.6
8,4010.7
10,4605.2
10,4698.5
8,3973.4
6,3042.7
4,2061
2,982.7
2,1000.4
4,1964.2
8,3939.7
10,4592.5
10,4648.7
8,3937.6
6,3011
4,1985.5
2,985.1
2,990.4
4,2010.8
6,3011.5
8,3918.9
10,4657.2
