FilmType,Direction,Measurement
BOPET,MD,4321
BOPET,MD,4211
BOPET,MD,4200
BOPET,MD,4199
BOPET,MD,4221
BOPET,TD,4355
BOPET,TD,4597
BOPET,TD,4388
BOPET,TD,4439
BOPET,TD,4380
BOPET,MD,4584
BOPET,MD,4647
BOPET,MD,4921
BOPET,MD,4932
BOPET,MD,4563
BOPET,TD,5137
BOPET,TD,5555
BOPET,TD,5615
BOPET,TD,5337
BOPET,TD,4977
BOPET,MD,4705
BOPET,MD,4937
BOPET,MD,4896
BOPET,MD,4874
BOPET,MD,4663
BOPET,TD,5006
BOPET,TD,4999
BOPET,TD,4829
BOPET,TD,4865
BOPET,TD,5062
BOPET,MD,5398
BOPET,MD,5459
BOPET,MD,5086
BOPET,MD,5294
BOPET,MD,5244
BOPET,TD,4535
BOPET,TD,5139
BOPET,TD,5139
BOPET,TD,5193
BOPET,TD,5653
BOPET,MD,4893
BOPET,MD,5129
BOPET,MD,5101
BOPET,MD,4945
BOPET,MD,5135
BOPET,TD,5003
BOPET,TD,4899
BOPET,TD,5177
BOPET,TD,5265
BOPET,TD,5128
BOPET,MD,4915
BOPET,MD,5080
BOPET,MD,4936
BOPET,MD,5134
BOPET,MD,5150
BOPET,TD,5585
BOPET,TD,5873
BOPET,TD,5744
BOPET,TD,5445
BOPET,TD,5599
BOPET,MD,4085
BOPET,MD,4590
BOPET,MD,4456
BOPET,MD,4496
BOPET,MD,4694
BOPET,TD,4954
BOPET,TD,4785
BOPET,TD,5293
BOPET,TD,5257
BOPET,TD,5071
BOPET,MD,4335
BOPET,MD,3986
BOPET,MD,3965
BOPET,MD,4020
BOPET,MD,4299
BOPET,TD,5261
BOPET,TD,4855
BOPET,TD,5184
BOPET,TD,4817
BOPET,TD,5022
BOPET,MD,3831
BOPET,MD,4245
BOPET,MD,4125
BOPET,MD,4320
BOPET,MD,4260
BOPET,TD,4960
BOPET,TD,5132
BOPET,TD,4891
BOPET,TD,4824
BOPET,TD,4964
BOPET,MD,4638
BOPET,MD,4738
BOPET,MD,4666
BOPET,MD,4646
BOPET,MD,4604
BOPET,TD,5479
BOPET,TD,5634
BOPET,TD,5470
BOPET,TD,5770
BOPET,TD,5241
BOPET,MD,4983
BOPET,MD,5171
BOPET,MD,4801
BOPET,MD,4845
BOPET,MD,4563
BOPET,TD,5167
BOPET,TD,4823
BOPET,TD,5364
BOPET,TD,4943
BOPET,TD,5158
BOPET,MD,4521
BOPET,MD,4590
BOPET,MD,4810
BOPET,MD,4521
BOPET,MD,4811
BOPET,TD,4998
BOPET,TD,5319
BOPET,TD,5179
BOPET,TD,5154
BOPET,TD,4986
BOPET,MD,4700
BOPET,MD,4810
BOPET,MD,4696
BOPET,MD,4489
BOPET,MD,4787
BOPET,TD,4862
BOPET,TD,4788
BOPET,TD,4235
BOPET,TD,4505
BOPET,TD,4540
BOPET,MD,4750
BOPET,MD,4784
BOPET,MD,5025
BOPET,MD,4956
BOPET,MD,4732
BOPET,TD,4845
BOPET,TD,4321
BOPET,TD,4529
BOPET,TD,4353
BOPET,TD,4724
BOPET,MD,3511
BOPET,MD,3388
BOPET,MD,4091
BOPET,MD,3967
BOPET,MD,4040
BOPET,TD,4677
BOPET,TD,4551
BOPET,TD,4396
BOPET,TD,4518
BOPET,TD,4583
BOPET,MD,5140
BOPET,MD,5661
BOPET,MD,5071
BOPET,MD,5587
BOPET,TD,5034
BOPET,TD,4867
BOPET,TD,4920
BOPET,TD,5058
BOPET,TD,5074
BOPET,MD,5151
BOPET,MD,5156
BOPET,MD,5235
BOPET,MD,5178
BOPET,MD,5162
BOPET,TD,5376
BOPET,TD,5294
BOPET,TD,5213
BOPET,TD,5503
BOPET,TD,5564
BOPET,MD,4791
BOPET,MD,4775
BOPET,MD,4896
BOPET,MD,4809
BOPET,MD,4684
BOPET,TD,5270
BOPET,TD,5403
BOPET,TD,5429
BOPET,TD,5417
BOPET,TD,5394
BOPET,MD,5069
BOPET,MD,5385
BOPET,MD,5236
BOPET,MD,5208
BOPET,MD,5085
BOPET,TD,5030
BOPET,TD,5315
BOPET,TD,4984
BOPET,TD,4984
BOPET,TD,5023
BOPET,MD,1992
BOPET,MD,1976
BOPET,MD,1940
BOPET,MD,2002
BOPET,MD,2049
BOPET,TD,3540
BOPET,TD,3617
BOPET,TD,3562
BOPET,TD,3676
BOPET,TD,3496
BOPET,MD,4630
BOPET,MD,4807
BOPET,MD,4962
BOPET,MD,4891
BOPET,MD,4880
BOPET,TD,4680
BOPET,TD,4596
BOPET,TD,4401
BOPET,TD,4653
BOPET,TD,4613
BOPET,MD,4839
BOPET,MD,4832
BOPET,MD,4341
BOPET,MD,4558
BOPET,MD,4744
BOPET,TD,4482
BOPET,TD,4540
BOPET,TD,4470
BOPET,TD,4604
BOPET,TD,4567
BOPET,MD,3896
BOPET,MD,4098
